hr,workingday,yr,dteday,atemp,season,weathersit,weekday,hum,mnth,windspeed,holiday,registered
13,0,0,1,0.3485,1,2,0,0.66,1,0.15786998942047725,0,64
14,0,0,1,0.3485,1,3,0,0.76,1,0.22804749030210414,0,55
15,0,0,1,0.3333,1,3,0,0.81,1,0.19301751498765723,0,55
16,0,0,1,0.3333,1,3,0,0.71,1,0.19301751498765723,0,67
17,0,0,1,0.3333,1,1,0,0.57,1,0.22804749030210414,0,58
18,0,0,1,0.3333,1,2,0,0.46,1,0.38603502997531447,0,43
19,0,0,1,0.2879,1,1,0,0.42,1,0.5263900317385682,0,29
20,0,0,1,0.2727,1,1,0,0.39,1,0.42106500528976143,0,17
21,0,0,1,0.2273,1,1,0,0.44,1,0.38603502997531447,0,20
22,0,0,1,0.2121,1,1,0,0.44,1,0.3508875044081345,0,9
23,0,0,1,0.2273,1,1,0,0.47,1,0.19301751498765723,0,8
0,1,0,2,0.19699999999999998,1,1,1,0.44,1,0.42106500528976143,0,5
1,1,0,2,0.1667,1,1,1,0.44,1,0.49124250617138826,0,2
4,1,0,2,0.1364,1,1,1,0.47,1,0.45621253085694136,0,1
5,1,0,2,0.1364,1,1,1,0.47,1,0.33337251675091106,0,3
6,1,0,2,0.1061,1,1,1,0.5,1,0.45621253085694136,0,30
7,1,0,2,0.1364,1,1,1,0.5,1,0.22804749030210414,0,63
8,1,0,2,0.1212,1,1,1,0.5,1,0.33337251675091106,0,153
9,1,0,2,0.1364,1,1,1,0.43,1,0.45621253085694136,0,81
10,1,0,2,0.1667,1,1,1,0.43,1,0.298224991183731,0,33
11,1,0,2,0.1818,1,1,1,0.4,1,0.38603502997531447,0,41
12,1,0,2,0.2121,1,1,1,0.35,1,0.3508875044081345,0,48
13,1,0,2,0.2121,1,1,1,0.35,1,0.33337251675091106,0,53
14,1,0,2,0.2424,1,1,1,0.3,1,0.33337251675091106,0,66
15,1,0,2,0.2424,1,1,1,0.3,1,0.298224991183731,0,58
16,1,0,2,0.2424,1,1,1,0.3,1,0.298224991183731,0,67
17,1,0,2,0.2273,1,1,1,0.3,1,0.2631950158692841,0,146
18,1,0,2,0.2576,1,1,1,0.32,1,0.12284001410603033,0,148
19,1,0,2,0.2576,1,1,1,0.47,1,0.0,0,102
20,1,0,2,0.2273,1,1,1,0.47,1,0.12284001410603033,0,49
21,1,0,2,0.19699999999999998,1,1,1,0.64,1,0.15786998942047725,0,49
22,1,0,2,0.1515,1,1,1,0.69,1,0.15786998942047725,0,20
23,1,0,2,0.2121,1,1,1,0.55,1,0.12284001410603033,0,11
0,1,0,3,0.1818,1,1,2,0.55,1,0.12284001410603033,0,5
1,1,0,3,0.1818,1,1,2,0.59,1,0.12284001410603033,0,2
2,1,0,3,0.1515,1,1,2,0.63,1,0.15786998942047725,0,1
4,1,0,3,0.1818,1,1,2,0.63,1,0.10532502644880687,0,2
5,1,0,3,0.1515,1,1,2,0.68,1,0.12284001410603033,0,4
6,1,0,3,0.1515,1,1,2,0.74,1,0.12284001410603033,0,36
7,1,0,3,0.1515,1,1,2,0.74,1,0.15786998942047725,0,92
8,1,0,3,0.1515,1,1,2,0.69,1,0.19301751498765723,0,177
9,1,0,3,0.1515,1,1,2,0.64,1,0.2631950158692841,0,98
10,1,0,3,0.1364,1,2,2,0.69,1,0.38603502997531447,0,37
11,1,0,3,0.2121,1,1,2,0.51,1,0.3508875044081345,0,50
12,1,0,3,0.2273,1,1,2,0.51,1,0.19301751498765723,0,66
13,1,0,3,0.2273,1,1,2,0.56,1,0.22804749030210414,0,79
14,1,0,3,0.2576,1,1,2,0.52,1,0.2631950158692841,0,54
15,1,0,3,0.2727,1,1,2,0.52,1,0.298224991183731,0,48
16,1,0,3,0.2879,1,1,2,0.49,1,0.298224991183731,0,68
17,1,0,3,0.2727,1,1,2,0.48,1,0.2631950158692841,0,202
18,1,0,3,0.2576,1,1,2,0.48,1,0.22804749030210414,0,179
19,1,0,3,0.2576,1,1,2,0.48,1,0.12284001410603033,0,110
20,1,0,3,0.2576,1,1,2,0.48,1,0.12284001410603033,0,53
21,1,0,3,0.2727,1,1,2,0.64,1,0.0,0,48
22,1,0,3,0.2576,1,1,2,0.64,1,0.10532502644880687,0,34
23,1,0,3,0.2273,1,1,2,0.69,1,0.10532502644880687,0,9
0,1,0,4,0.2576,1,1,3,0.64,1,0.0,0,6
1,1,0,4,0.19699999999999998,1,1,3,0.74,1,0.10532502644880687,0,6
2,1,0,4,0.19699999999999998,1,1,3,0.74,1,0.10532502644880687,0,2
4,1,0,4,0.2273,1,1,3,0.48,1,0.2631950158692841,0,2
5,1,0,4,0.2273,1,1,3,0.47,1,0.19301751498765723,0,3
6,1,0,4,0.19699999999999998,1,1,3,0.47,1,0.2631950158692841,0,33
7,1,0,4,0.1818,1,1,3,0.43,1,0.22804749030210414,0,87
8,1,0,4,0.1818,1,1,3,0.4,1,0.3508875044081345,0,192
9,1,0,4,0.19699999999999998,1,1,3,0.37,1,0.38603502997531447,0,109
10,1,0,4,0.19699999999999998,1,1,3,0.37,1,0.38603502997531447,0,53
11,1,0,4,0.2273,1,1,3,0.33,1,0.38603502997531447,0,34
12,1,0,4,0.2273,1,1,3,0.33,1,0.38603502997531447,0,74
13,1,0,4,0.2576,1,1,3,0.3,1,0.3508875044081345,0,65
14,1,0,4,0.2879,1,1,3,0.28,1,0.22804749030210414,0,52
15,1,0,4,0.2879,1,1,3,0.28,1,0.22804749030210414,0,55
16,1,0,4,0.3182,1,1,3,0.28,1,0.10532502644880687,0,85
17,1,0,4,0.2273,1,1,3,0.38,1,0.22804749030210414,0,186
18,1,0,4,0.2424,1,1,3,0.38,1,0.15786998942047725,0,166
19,1,0,4,0.2576,1,1,3,0.38,1,0.12284001410603033,0,127
20,1,0,4,0.2273,1,1,3,0.47,1,0.19301751498765723,0,82
21,1,0,4,0.19699999999999998,1,1,3,0.51,1,0.22804749030210414,0,40
22,1,0,4,0.19699999999999998,1,1,3,0.55,1,0.15786998942047725,0,41
23,1,0,4,0.2576,1,1,3,0.47,1,0.0,0,18
0,1,0,5,0.2424,1,1,4,0.55,1,0.0,0,11
1,1,0,5,0.2273,1,1,4,0.64,1,0.0,0,4
2,1,0,5,0.2273,1,1,4,0.64,1,0.0,0,2
4,1,0,5,0.19699999999999998,1,2,4,0.64,1,0.10532502644880687,0,1
5,1,0,5,0.1818,1,2,4,0.69,1,0.10532502644880687,0,4
6,1,0,5,0.1667,1,2,4,0.63,1,0.12284001410603033,0,36
7,1,0,5,0.2273,1,2,4,0.59,1,0.0,0,95
8,1,0,5,0.2273,1,1,4,0.59,1,0.0,0,216
9,1,0,5,0.2424,1,2,4,0.51,1,0.0,0,116
10,1,0,5,0.2576,1,1,4,0.47,1,0.0,0,42
11,1,0,5,0.2576,1,1,4,0.44,1,0.10532502644880687,0,57
12,1,0,5,0.2879,1,1,4,0.35,1,0.0,0,78
13,1,0,5,0.2727,1,1,4,0.35,1,0.12284001410603033,0,55
14,1,0,5,0.2727,1,1,4,0.36,1,0.19301751498765723,0,59
15,1,0,5,0.2727,1,1,4,0.36,1,0.0,0,54
16,1,0,5,0.2576,1,1,4,0.38,1,0.19301751498765723,0,74
17,1,0,5,0.2273,1,1,4,0.51,1,0.19301751498765723,0,163
18,1,0,5,0.2273,1,1,4,0.51,1,0.15786998942047725,0,158
19,1,0,5,0.2576,1,1,4,0.55,1,0.10532502644880687,0,109
20,1,0,5,0.2121,1,1,4,0.51,1,0.19301751498765723,0,66
21,1,0,5,0.2121,1,2,4,0.55,1,0.2631950158692841,0,48
22,1,0,5,0.2121,1,2,4,0.51,1,0.33337251675091106,0,51
23,1,0,5,0.19699999999999998,1,2,4,0.59,1,0.22804749030210414,0,19
0,1,0,6,0.19699999999999998,1,2,5,0.64,1,0.22804749030210414,0,13
1,1,0,6,0.19699999999999998,1,2,5,0.69,1,0.2631950158692841,0,5
2,1,0,6,0.19699999999999998,1,2,5,0.69,1,0.2631950158692841,0,1
4,1,0,6,0.2121,1,2,5,0.69,1,0.15786998942047725,0,1
5,1,0,6,0.2727,1,3,5,0.55,1,0.0,0,5
6,1,0,6,0.2576,1,2,5,0.69,1,0.0,0,26
7,1,0,6,0.2121,1,1,5,0.69,1,0.15786998942047725,0,76
8,1,0,6,0.19699999999999998,1,1,5,0.51,1,0.298224991183731,0,190
9,1,0,6,0.1818,1,1,5,0.47,1,0.3508875044081345,0,125
10,1,0,6,0.19699999999999998,1,1,5,0.37,1,0.38603502997531447,0,47
11,1,0,6,0.19699999999999998,1,2,5,0.4,1,0.2631950158692841,0,48
12,1,0,6,0.19699999999999998,1,2,5,0.37,1,0.298224991183731,0,50
13,1,0,6,0.1818,1,2,5,0.37,1,0.33337251675091106,0,64
14,1,0,6,0.19699999999999998,1,2,5,0.4,1,0.298224991183731,0,43
15,1,0,6,0.2121,1,2,5,0.37,1,0.19301751498765723,0,63
16,1,0,6,0.2121,1,2,5,0.37,1,0.19301751498765723,0,82
17,1,0,6,0.2576,1,2,5,0.37,1,0.0,0,178
18,1,0,6,0.2273,1,1,5,0.4,1,0.10532502644880687,0,116
19,1,0,6,0.19699999999999998,1,1,5,0.55,1,0.10532502644880687,0,92
20,1,0,6,0.2121,1,1,5,0.47,1,0.12284001410603033,0,50
21,1,0,6,0.19699999999999998,1,1,5,0.47,1,0.15786998942047725,0,39
22,1,0,6,0.19699999999999998,1,2,5,0.43,1,0.19301751498765723,0,34
23,1,0,6,0.19699999999999998,1,2,5,0.51,1,0.19301751498765723,0,14
0,0,0,7,0.19699999999999998,1,2,6,0.51,1,0.19301751498765723,0,24
1,0,0,7,0.2121,1,2,6,0.55,1,0.10532502644880687,0,15
2,0,0,7,0.2424,1,2,6,0.55,1,0.0,0,13
3,0,0,7,0.19699999999999998,1,3,6,0.55,1,0.19301751498765723,0,7
4,0,0,7,0.19699999999999998,1,3,6,0.55,1,0.19301751498765723,0,1
5,0,0,7,0.1667,1,2,6,0.74,1,0.19301751498765723,0,5
6,0,0,7,0.1667,1,2,6,0.74,1,0.19301751498765723,0,2
7,0,0,7,0.1818,1,2,6,0.74,1,0.12284001410603033,0,8
8,0,0,7,0.1818,1,3,6,0.93,1,0.12284001410603033,0,15
9,0,0,7,0.1818,1,3,6,0.93,1,0.12284001410603033,0,20
10,0,0,7,0.19699999999999998,1,2,6,0.8,1,0.19301751498765723,0,56
11,0,0,7,0.1818,1,2,6,0.69,1,0.45621253085694136,0,60
12,0,0,7,0.1818,1,2,6,0.59,1,0.42106500528976143,0,90
13,0,0,7,0.1818,1,1,6,0.44,1,0.38603502997531447,0,95
14,0,0,7,0.1667,1,1,6,0.32,1,0.5789349947102387,0,83
15,0,0,7,0.1667,1,1,6,0.32,1,0.5263900317385682,0,69
16,0,0,7,0.1364,1,1,6,0.29,1,0.5263900317385682,0,68
17,0,0,7,0.1212,1,1,6,0.37,1,0.6491124955918656,0,64
18,0,0,7,0.1212,1,1,6,0.39,1,0.3508875044081345,0,52
19,0,0,7,0.1212,1,1,6,0.36,1,0.298224991183731,0,26
20,0,0,7,0.1212,1,1,6,0.36,1,0.298224991183731,0,28
21,0,0,7,0.1061,1,1,6,0.39,1,0.42106500528976143,0,35
22,0,0,7,0.1061,1,1,6,0.36,1,0.45621253085694136,0,33
23,0,0,7,0.0606,1,1,6,0.39,1,0.5263900317385682,0,22
0,0,0,8,0.0758,1,1,0,0.42,1,0.45621253085694136,0,24
1,0,0,8,0.0606,1,1,0,0.42,1,0.5439050193957917,0,12
2,0,0,8,0.0606,1,1,0,0.46,1,0.5439050193957917,0,11
3,0,0,8,0.0758,1,1,0,0.46,1,0.49124250617138826,0,4
4,0,0,8,0.0909,1,1,0,0.53,1,0.22804749030210414,0,1
5,0,0,8,0.0909,1,1,0,0.53,1,0.22804749030210414,0,1
6,0,0,8,0.0909,1,1,0,0.49,1,0.33337251675091106,0,1
7,0,0,8,0.0909,1,1,0,0.53,1,0.22804749030210414,0,5
8,0,0,8,0.0909,1,1,0,0.49,1,0.33337251675091106,0,10
9,0,0,8,0.0758,1,1,0,0.46,1,0.6140825202774186,0,19
10,0,0,8,0.1061,1,1,0,0.43,1,0.45621253085694136,0,49
11,0,0,8,0.1212,1,1,0,0.4,1,0.6140825202774186,0,47
12,0,0,8,0.1364,1,1,0,0.37,1,0.5263900317385682,0,79
13,0,0,8,0.1667,1,1,0,0.34,1,0.5263900317385682,0,69
14,0,0,8,0.1818,1,1,0,0.32,1,0.5439050193957917,0,64
15,0,0,8,0.19699999999999998,1,1,0,0.35,1,0.42106500528976143,0,77
16,0,0,8,0.1667,1,1,0,0.34,1,0.5263900317385682,0,79
17,0,0,8,0.1515,1,1,0,0.37,1,0.45621253085694136,0,59
18,0,0,8,0.1364,1,1,0,0.4,1,0.38603502997531447,0,44
19,0,0,8,0.1364,1,1,0,0.43,1,0.38603502997531447,0,40
20,0,0,8,0.1212,1,1,0,0.46,1,0.298224991183731,0,38
21,0,0,8,0.1061,1,1,0,0.46,1,0.49124250617138826,0,19
22,0,0,8,0.1212,1,1,0,0.46,1,0.3508875044081345,0,10
23,0,0,8,0.1364,1,1,0,0.5,1,0.22804749030210414,0,6
0,1,0,9,0.1212,1,1,1,0.5,1,0.33337251675091106,0,3
1,1,0,9,0.1212,1,1,1,0.5,1,0.33337251675091106,0,0
2,1,0,9,0.1212,1,1,1,0.5,1,0.2631950158692841,0,3
3,1,0,9,0.1212,1,1,1,0.5,1,0.2631950158692841,0,1
4,1,0,9,0.1212,1,1,1,0.54,1,0.15786998942047725,0,2
5,1,0,9,0.1061,1,1,1,0.54,1,0.298224991183731,0,3
6,1,0,9,0.1212,1,1,1,0.5,1,0.33337251675091106,0,31
7,1,0,9,0.1212,1,1,1,0.5,1,0.2631950158692841,0,75
8,1,0,9,0.1212,1,2,1,0.5,1,0.33337251675091106,0,184
9,1,0,9,0.1212,1,2,1,0.5,1,0.298224991183731,0,92
10,1,0,9,0.1212,1,2,1,0.5,1,0.3508875044081345,0,31
11,1,0,9,0.1364,1,2,1,0.47,1,0.33337251675091106,0,28
12,1,0,9,0.1818,1,2,1,0.4,1,0.33337251675091106,0,47
13,1,0,9,0.1818,1,2,1,0.4,1,0.33337251675091106,0,50
14,1,0,9,0.19699999999999998,1,2,1,0.4,1,0.2631950158692841,0,47
15,1,0,9,0.19699999999999998,1,2,1,0.4,1,0.2631950158692841,0,43
16,1,0,9,0.2121,1,1,1,0.4,1,0.15786998942047725,0,70
17,1,0,9,0.2273,1,1,1,0.4,1,0.12284001410603033,0,174
18,1,0,9,0.19699999999999998,1,1,1,0.4,1,0.2631950158692841,0,154
19,1,0,9,0.1667,1,1,1,0.47,1,0.19301751498765723,0,92
20,1,0,9,0.1667,1,1,1,0.5,1,0.19301751498765723,0,73
21,1,0,9,0.1364,1,1,1,0.59,1,0.22804749030210414,0,37
22,1,0,9,0.1515,1,1,1,0.59,1,0.19301751498765723,0,22
23,1,0,9,0.1515,1,1,1,0.59,1,0.19301751498765723,0,18
0,1,0,10,0.1667,1,1,2,0.59,1,0.12284001410603033,0,10
1,1,0,10,0.1515,1,1,2,0.59,1,0.19301751498765723,0,3
2,1,0,10,0.1515,1,2,2,0.55,1,0.22804749030210414,0,3
5,1,0,10,0.1818,1,2,2,0.55,1,0.15786998942047725,0,6
6,1,0,10,0.1818,1,2,2,0.55,1,0.15786998942047725,0,27
7,1,0,10,0.2273,1,2,2,0.55,1,0.0,0,97
8,1,0,10,0.2121,1,2,2,0.51,1,0.10532502644880687,0,214
9,1,0,10,0.19699999999999998,1,2,2,0.51,1,0.19301751498765723,0,127
10,1,0,10,0.2121,1,2,2,0.51,1,0.19301751498765723,0,51
11,1,0,10,0.2121,1,2,2,0.47,1,0.15786998942047725,0,31
12,1,0,10,0.2273,1,2,2,0.51,1,0.12284001410603033,0,55
13,1,0,10,0.2273,1,2,2,0.59,1,0.10532502644880687,0,46
14,1,0,10,0.2273,1,2,2,0.59,1,0.10532502644880687,0,60
15,1,0,10,0.19699999999999998,1,2,2,0.8,1,0.10532502644880687,0,45
16,1,0,10,0.1515,1,2,2,0.86,1,0.2631950158692841,0,72
17,1,0,10,0.1515,1,2,2,0.86,1,0.2631950158692841,0,130
18,1,0,10,0.1818,1,3,2,0.93,1,0.12284001410603033,0,94
19,1,0,10,0.2273,1,3,2,0.93,1,0.0,0,51
20,1,0,10,0.1515,1,3,2,0.93,1,0.22804749030210414,0,32
21,1,0,10,0.19699999999999998,1,3,2,0.86,1,0.10532502644880687,0,20
22,1,0,10,0.1818,1,3,2,0.93,1,0.12284001410603033,0,28
23,1,0,10,0.19699999999999998,1,3,2,0.93,1,0.10532502644880687,0,18
0,1,0,11,0.19699999999999998,1,2,3,0.86,1,0.10532502644880687,0,7
1,1,0,11,0.1818,1,2,3,0.86,1,0.12284001410603033,0,6
2,1,0,11,0.1515,1,1,3,0.86,1,0.15786998942047725,0,1
5,1,0,11,0.1515,1,1,3,0.86,1,0.19301751498765723,0,5
6,1,0,11,0.1515,1,1,3,0.93,1,0.15786998942047725,0,16
7,1,0,11,0.1515,1,1,3,0.69,1,0.15786998942047725,0,54
8,1,0,11,0.1667,1,1,3,0.59,1,0.19301751498765723,0,125
9,1,0,11,0.1364,1,1,3,0.59,1,0.38603502997531447,0,78
10,1,0,11,0.1818,1,1,3,0.55,1,0.2631950158692841,0,39
11,1,0,11,0.1818,1,1,3,0.51,1,0.45621253085694136,0,32
12,1,0,11,0.1515,1,1,3,0.47,1,0.6842600211590455,0,52
13,1,0,11,0.19699999999999998,1,1,3,0.44,1,0.42106500528976143,0,49
14,1,0,11,0.1818,1,1,3,0.47,1,0.38603502997531447,0,44
15,1,0,11,0.1667,1,1,3,0.47,1,0.49124250617138826,0,48
16,1,0,11,0.19699999999999998,1,1,3,0.44,1,0.38603502997531447,0,63
17,1,0,11,0.1818,1,1,3,0.47,1,0.42106500528976143,0,139
18,1,0,11,0.1515,1,1,3,0.47,1,0.6140825202774186,0,135
19,1,0,11,0.1515,1,1,3,0.47,1,0.49124250617138826,0,82
20,1,0,11,0.1364,1,1,3,0.5,1,0.38603502997531447,0,54
21,1,0,11,0.1364,1,1,3,0.55,1,0.38603502997531447,0,57
22,1,0,11,0.1212,1,1,3,0.55,1,0.5263900317385682,0,32
23,1,0,11,0.1061,1,1,3,0.59,1,0.49124250617138826,0,19
0,1,0,12,0.1212,1,1,4,0.59,1,0.33337251675091106,0,6
1,1,0,12,0.1212,1,1,4,0.5,1,0.33337251675091106,0,2
2,1,0,12,0.1212,1,1,4,0.5,1,0.42106500528976143,0,2
3,1,0,12,0.1212,1,1,4,0.5,1,0.38603502997531447,0,3
4,1,0,12,0.1212,1,1,4,0.5,1,0.298224991183731,0,4
5,1,0,12,0.1212,1,1,4,0.5,1,0.3508875044081345,0,3
6,1,0,12,0.1515,1,1,4,0.54,1,0.15786998942047725,0,28
7,1,0,12,0.1515,1,1,4,0.54,1,0.15786998942047725,0,72
8,1,0,12,0.1364,1,1,4,0.5,1,0.22804749030210414,0,197
9,1,0,12,0.1212,1,1,4,0.5,1,0.38603502997531447,0,137
10,1,0,12,0.1364,1,2,4,0.5,1,0.42106500528976143,0,36
11,1,0,12,0.1667,1,2,4,0.44,1,0.5263900317385682,0,33
12,1,0,12,0.1667,1,1,4,0.44,1,0.49124250617138826,0,49
13,1,0,12,0.19699999999999998,1,1,4,0.41,1,0.5263900317385682,0,81
14,1,0,12,0.19699999999999998,1,1,4,0.41,1,0.45621253085694136,0,39
15,1,0,12,0.2121,1,1,4,0.38,1,0.3508875044081345,0,55
16,1,0,12,0.2121,1,1,4,0.38,1,0.42106500528976143,0,76
17,1,0,12,0.1818,1,1,4,0.4,1,0.33337251675091106,0,158
18,1,0,12,0.1818,1,1,4,0.4,1,0.38603502997531447,0,141
19,1,0,12,0.1515,1,1,4,0.47,1,0.298224991183731,0,98
20,1,0,12,0.1515,1,1,4,0.47,1,0.2631950158692841,0,64
21,1,0,12,0.1212,1,1,4,0.46,1,0.3508875044081345,0,40
22,1,0,12,0.1212,1,1,4,0.46,1,0.38603502997531447,0,30
23,1,0,12,0.1364,1,1,4,0.5,1,0.22804749030210414,0,14
0,1,0,13,0.1364,1,1,5,0.5,1,0.22804749030210414,0,14
1,1,0,13,0.1212,1,1,5,0.54,1,0.19301751498765723,0,5
2,1,0,13,0.1212,1,1,5,0.54,1,0.15786998942047725,0,1
3,1,0,13,0.1364,1,1,5,0.54,1,0.12284001410603033,0,1
5,1,0,13,0.1364,1,1,5,0.54,1,0.10532502644880687,0,8
6,1,0,13,0.1818,1,1,5,0.54,1,0.0,0,17
7,1,0,13,0.1212,1,1,5,0.74,1,0.19301751498765723,0,70
8,1,0,13,0.1667,1,1,5,0.68,1,0.0,0,156
9,1,0,13,0.1515,1,1,5,0.69,1,0.15786998942047725,0,117
10,1,0,13,0.1818,1,1,5,0.55,1,0.22804749030210414,0,40
11,1,0,13,0.1667,1,1,5,0.51,1,0.33337251675091106,0,47
12,1,0,13,0.19699999999999998,1,1,5,0.44,1,0.298224991183731,0,59
13,1,0,13,0.19699999999999998,1,1,5,0.37,1,0.45621253085694136,0,73
14,1,0,13,0.2121,1,1,5,0.41,1,0.33337251675091106,0,59
15,1,0,13,0.2424,1,1,5,0.38,1,0.19301751498765723,0,59
16,1,0,13,0.2424,1,1,5,0.41,1,0.12284001410603033,0,87
17,1,0,13,0.2273,1,1,5,0.41,1,0.19301751498765723,0,155
18,1,0,13,0.2576,1,1,5,0.47,1,0.0,0,134
19,1,0,13,0.19699999999999998,1,1,5,0.59,1,0.10532502644880687,0,89
20,1,0,13,0.2424,1,1,5,0.59,1,0.0,0,68
21,1,0,13,0.2273,1,1,5,0.69,1,0.0,0,48
22,1,0,13,0.2273,1,2,5,0.69,1,0.0,0,34
23,1,0,13,0.2424,1,2,5,0.55,1,0.0,0,26
0,0,0,14,0.2424,1,1,6,0.55,1,0.0,0,25
1,0,0,14,0.19699999999999998,1,2,6,0.59,1,0.10532502644880687,0,18
2,0,0,14,0.19699999999999998,1,2,6,0.59,1,0.10532502644880687,0,12
3,0,0,14,0.2273,1,2,6,0.59,1,0.0,0,7
4,0,0,14,0.2273,1,2,6,0.59,1,0.0,0,5
5,0,0,14,0.2273,1,1,6,0.59,1,0.0,0,1
6,0,0,14,0.1667,1,1,6,0.63,1,0.12284001410603033,0,2
7,0,0,14,0.2121,1,1,6,0.63,1,0.0,0,9
8,0,0,14,0.1515,1,1,6,0.63,1,0.15786998942047725,0,22
9,0,0,14,0.1818,1,1,6,0.64,1,0.15786998942047725,0,31
10,0,0,14,0.19699999999999998,1,1,6,0.59,1,0.19301751498765723,0,57
11,0,0,14,0.19699999999999998,1,1,6,0.55,1,0.2631950158692841,0,54
12,0,0,14,0.2273,1,1,6,0.48,1,0.2631950158692841,0,74
13,0,0,14,0.2576,1,1,6,0.38,1,0.3508875044081345,0,80
14,0,0,14,0.2879,1,1,6,0.39,1,0.33337251675091106,0,92
15,0,0,14,0.3182,1,2,6,0.36,1,0.22804749030210414,0,108
16,0,0,14,0.3333,1,2,6,0.34,1,0.22804749030210414,0,95
17,0,0,14,0.303,1,2,6,0.36,1,0.33337251675091106,0,54
18,0,0,14,0.2879,1,2,6,0.45,1,0.298224991183731,0,69
19,0,0,14,0.303,1,2,6,0.39,1,0.298224991183731,0,60
20,0,0,14,0.303,1,2,6,0.39,1,0.298224991183731,0,35
21,0,0,14,0.303,1,2,6,0.39,1,0.2631950158692841,0,51
22,0,0,14,0.3182,1,2,6,0.42,1,0.12284001410603033,0,26
23,0,0,14,0.2879,1,1,6,0.45,1,0.33337251675091106,0,39
0,0,0,15,0.303,1,1,0,0.56,1,0.0,0,33
1,0,0,15,0.2727,1,1,0,0.56,1,0.15786998942047725,0,19
2,0,0,15,0.2879,1,1,0,0.56,1,0.10532502644880687,0,13
3,0,0,15,0.2727,1,1,0,0.69,1,0.0,0,6
4,0,0,15,0.2576,1,1,0,0.56,1,0.19301751498765723,0,1
5,0,0,15,0.2576,1,2,0,0.56,1,0.19301751498765723,0,1
6,0,0,15,0.2576,1,2,0,0.56,1,0.19301751498765723,0,1
7,0,0,15,0.2121,1,2,0,0.56,1,0.3508875044081345,0,3
8,0,0,15,0.2121,1,1,0,0.55,1,0.33337251675091106,0,18
9,0,0,15,0.2121,1,1,0,0.51,1,0.298224991183731,0,29
10,0,0,15,0.2121,1,1,0,0.51,1,0.33337251675091106,0,71
11,0,0,15,0.2273,1,1,0,0.44,1,0.298224991183731,0,70
12,0,0,15,0.2121,1,1,0,0.41,1,0.33337251675091106,0,75
13,0,0,15,0.2273,1,1,0,0.35,1,0.3508875044081345,0,95
14,0,0,15,0.2727,1,1,0,0.36,1,0.298224991183731,0,69
15,0,0,15,0.2424,1,1,0,0.38,1,0.298224991183731,0,78
16,0,0,15,0.2273,1,1,0,0.38,1,0.2631950158692841,0,77
17,0,0,15,0.2121,1,1,0,0.37,1,0.298224991183731,0,82
18,0,0,15,0.2121,1,1,0,0.4,1,0.19301751498765723,0,56
