workingday,atemp,hr,yr,season,dteday,mnth,weekday,hum,weathersit,windspeed,holiday,casual
0,0.3485,13,0,1,1,1,0,0.66,2,0.15786998942047725,0,11
0,0.3485,14,0,1,1,1,0,0.76,3,0.22804749030210414,0,4
0,0.3333,15,0,1,1,1,0,0.81,3,0.19301751498765723,0,19
0,0.3333,16,0,1,1,1,0,0.71,3,0.19301751498765723,0,9
0,0.3333,17,0,1,1,1,0,0.57,1,0.22804749030210414,0,7
0,0.3333,18,0,1,1,1,0,0.46,2,0.38603502997531447,0,10
0,0.2879,19,0,1,1,1,0,0.42,1,0.5263900317385682,0,1
0,0.2727,20,0,1,1,1,0,0.39,1,0.42106500528976143,0,5
0,0.2273,21,0,1,1,1,0,0.44,1,0.38603502997531447,0,11
0,0.2121,22,0,1,1,1,0,0.44,1,0.3508875044081345,0,0
0,0.2273,23,0,1,1,1,0,0.47,1,0.19301751498765723,0,0
1,0.19699999999999998,0,0,1,2,1,1,0.44,1,0.42106500528976143,0,0
1,0.1667,1,0,1,2,1,1,0.44,1,0.49124250617138826,0,0
1,0.1364,4,0,1,2,1,1,0.47,1,0.45621253085694136,0,0
1,0.1364,5,0,1,2,1,1,0.47,1,0.33337251675091106,0,0
1,0.1061,6,0,1,2,1,1,0.5,1,0.45621253085694136,0,0
1,0.1364,7,0,1,2,1,1,0.5,1,0.22804749030210414,0,1
1,0.1212,8,0,1,2,1,1,0.5,1,0.33337251675091106,0,1
1,0.1364,9,0,1,2,1,1,0.43,1,0.45621253085694136,0,7
1,0.1667,10,0,1,2,1,1,0.43,1,0.298224991183731,0,11
1,0.1818,11,0,1,2,1,1,0.4,1,0.38603502997531447,0,10
1,0.2121,12,0,1,2,1,1,0.35,1,0.3508875044081345,0,13
1,0.2121,13,0,1,2,1,1,0.35,1,0.33337251675091106,0,8
1,0.2424,14,0,1,2,1,1,0.3,1,0.33337251675091106,0,11
1,0.2424,15,0,1,2,1,1,0.3,1,0.298224991183731,0,14
1,0.2424,16,0,1,2,1,1,0.3,1,0.298224991183731,0,9
1,0.2273,17,0,1,2,1,1,0.3,1,0.2631950158692841,0,11
1,0.2576,18,0,1,2,1,1,0.32,1,0.12284001410603033,0,9
1,0.2576,19,0,1,2,1,1,0.47,1,0.0,0,8
1,0.2273,20,0,1,2,1,1,0.47,1,0.12284001410603033,0,3
1,0.19699999999999998,21,0,1,2,1,1,0.64,1,0.15786998942047725,0,3
1,0.1515,22,0,1,2,1,1,0.69,1,0.15786998942047725,0,0
1,0.2121,23,0,1,2,1,1,0.55,1,0.12284001410603033,0,1
1,0.1818,0,0,1,3,1,2,0.55,1,0.12284001410603033,0,0
1,0.1818,1,0,1,3,1,2,0.59,1,0.12284001410603033,0,0
1,0.1515,2,0,1,3,1,2,0.63,1,0.15786998942047725,0,0
1,0.1818,4,0,1,3,1,2,0.63,1,0.10532502644880687,0,0
1,0.1515,5,0,1,3,1,2,0.68,1,0.12284001410603033,0,0
1,0.1515,6,0,1,3,1,2,0.74,1,0.12284001410603033,0,0
1,0.1515,7,0,1,3,1,2,0.74,1,0.15786998942047725,0,2
1,0.1515,8,0,1,3,1,2,0.69,1,0.19301751498765723,0,2
1,0.1515,9,0,1,3,1,2,0.64,1,0.2631950158692841,0,2
1,0.1364,10,0,1,3,1,2,0.69,2,0.38603502997531447,0,5
1,0.2121,11,0,1,3,1,2,0.51,1,0.3508875044081345,0,7
1,0.2273,12,0,1,3,1,2,0.51,1,0.19301751498765723,0,12
1,0.2273,13,0,1,3,1,2,0.56,1,0.22804749030210414,0,18
1,0.2576,14,0,1,3,1,2,0.52,1,0.2631950158692841,0,9
1,0.2727,15,0,1,3,1,2,0.52,1,0.298224991183731,0,17
1,0.2879,16,0,1,3,1,2,0.49,1,0.298224991183731,0,15
1,0.2727,17,0,1,3,1,2,0.48,1,0.2631950158692841,0,10
1,0.2576,18,0,1,3,1,2,0.48,1,0.22804749030210414,0,3
1,0.2576,19,0,1,3,1,2,0.48,1,0.12284001410603033,0,2
1,0.2576,20,0,1,3,1,2,0.48,1,0.12284001410603033,0,1
1,0.2727,21,0,1,3,1,2,0.64,1,0.0,0,0
1,0.2576,22,0,1,3,1,2,0.64,1,0.10532502644880687,0,1
1,0.2273,23,0,1,3,1,2,0.69,1,0.10532502644880687,0,2
1,0.2576,0,0,1,4,1,3,0.64,1,0.0,0,0
1,0.19699999999999998,1,0,1,4,1,3,0.74,1,0.10532502644880687,0,0
1,0.19699999999999998,2,0,1,4,1,3,0.74,1,0.10532502644880687,0,0
1,0.2273,4,0,1,4,1,3,0.48,1,0.2631950158692841,0,0
1,0.2273,5,0,1,4,1,3,0.47,1,0.19301751498765723,0,0
1,0.19699999999999998,6,0,1,4,1,3,0.47,1,0.2631950158692841,0,0
1,0.1818,7,0,1,4,1,3,0.43,1,0.22804749030210414,0,1
1,0.1818,8,0,1,4,1,3,0.4,1,0.3508875044081345,0,3
1,0.19699999999999998,9,0,1,4,1,3,0.37,1,0.38603502997531447,0,6
1,0.19699999999999998,10,0,1,4,1,3,0.37,1,0.38603502997531447,0,4
1,0.2273,11,0,1,4,1,3,0.33,1,0.38603502997531447,0,12
1,0.2273,12,0,1,4,1,3,0.33,1,0.38603502997531447,0,5
1,0.2576,13,0,1,4,1,3,0.3,1,0.3508875044081345,0,6
1,0.2879,14,0,1,4,1,3,0.28,1,0.22804749030210414,0,10
1,0.2879,15,0,1,4,1,3,0.28,1,0.22804749030210414,0,7
1,0.3182,16,0,1,4,1,3,0.28,1,0.10532502644880687,0,4
1,0.2273,17,0,1,4,1,3,0.38,1,0.22804749030210414,0,4
1,0.2424,18,0,1,4,1,3,0.38,1,0.15786998942047725,0,3
1,0.2576,19,0,1,4,1,3,0.38,1,0.12284001410603033,0,5
1,0.2273,20,0,1,4,1,3,0.47,1,0.19301751498765723,0,7
1,0.19699999999999998,21,0,1,4,1,3,0.51,1,0.22804749030210414,0,3
1,0.19699999999999998,22,0,1,4,1,3,0.55,1,0.15786998942047725,0,1
1,0.2576,23,0,1,4,1,3,0.47,1,0.0,0,1
1,0.2424,0,0,1,5,1,4,0.55,1,0.0,0,0
1,0.2273,1,0,1,5,1,4,0.64,1,0.0,0,0
1,0.2273,2,0,1,5,1,4,0.64,1,0.0,0,0
1,0.19699999999999998,4,0,1,5,1,4,0.64,2,0.10532502644880687,0,0
1,0.1818,5,0,1,5,1,4,0.69,2,0.10532502644880687,0,0
1,0.1667,6,0,1,5,1,4,0.63,2,0.12284001410603033,0,0
1,0.2273,7,0,1,5,1,4,0.59,2,0.0,0,0
1,0.2273,8,0,1,5,1,4,0.59,1,0.0,0,3
1,0.2424,9,0,1,5,1,4,0.51,2,0.0,0,6
1,0.2576,10,0,1,5,1,4,0.47,1,0.0,0,3
1,0.2576,11,0,1,5,1,4,0.44,1,0.10532502644880687,0,2
1,0.2879,12,0,1,5,1,4,0.35,1,0.0,0,6
1,0.2727,13,0,1,5,1,4,0.35,1,0.12284001410603033,0,12
1,0.2727,14,0,1,5,1,4,0.36,1,0.19301751498765723,0,11
1,0.2727,15,0,1,5,1,4,0.36,1,0.0,0,8
1,0.2576,16,0,1,5,1,4,0.38,1,0.19301751498765723,0,12
1,0.2273,17,0,1,5,1,4,0.51,1,0.19301751498765723,0,9
1,0.2273,18,0,1,5,1,4,0.51,1,0.15786998942047725,0,5
1,0.2576,19,0,1,5,1,4,0.55,1,0.10532502644880687,0,3
1,0.2121,20,0,1,5,1,4,0.51,1,0.19301751498765723,0,3
1,0.2121,21,0,1,5,1,4,0.55,2,0.2631950158692841,0,0
1,0.2121,22,0,1,5,1,4,0.51,2,0.33337251675091106,0,1
1,0.19699999999999998,23,0,1,5,1,4,0.59,2,0.22804749030210414,0,4
1,0.19699999999999998,0,0,1,6,1,5,0.64,2,0.22804749030210414,0,4
1,0.19699999999999998,1,0,1,6,1,5,0.69,2,0.2631950158692841,0,2
1,0.19699999999999998,2,0,1,6,1,5,0.69,2,0.2631950158692841,0,0
1,0.2121,4,0,1,6,1,5,0.69,2,0.15786998942047725,0,0
1,0.2727,5,0,1,6,1,5,0.55,3,0.0,0,0
1,0.2576,6,0,1,6,1,5,0.69,2,0.0,0,8
1,0.2121,7,0,1,6,1,5,0.69,1,0.15786998942047725,0,8
1,0.19699999999999998,8,0,1,6,1,5,0.51,1,0.298224991183731,0,20
1,0.1818,9,0,1,6,1,5,0.47,1,0.3508875044081345,0,9
1,0.19699999999999998,10,0,1,6,1,5,0.37,1,0.38603502997531447,0,16
1,0.19699999999999998,11,0,1,6,1,5,0.4,2,0.2631950158692841,0,19
1,0.19699999999999998,12,0,1,6,1,5,0.37,2,0.298224991183731,0,9
1,0.1818,13,0,1,6,1,5,0.37,2,0.33337251675091106,0,9
1,0.19699999999999998,14,0,1,6,1,5,0.4,2,0.298224991183731,0,7
1,0.2121,15,0,1,6,1,5,0.37,2,0.19301751498765723,0,9
1,0.2121,16,0,1,6,1,5,0.37,2,0.19301751498765723,0,5
1,0.2576,17,0,1,6,1,5,0.37,2,0.0,0,9
1,0.2273,18,0,1,6,1,5,0.4,1,0.10532502644880687,0,7
1,0.19699999999999998,19,0,1,6,1,5,0.55,1,0.10532502644880687,0,3
1,0.2121,20,0,1,6,1,5,0.47,1,0.12284001410603033,0,1
1,0.19699999999999998,21,0,1,6,1,5,0.47,1,0.15786998942047725,0,0
1,0.19699999999999998,22,0,1,6,1,5,0.43,2,0.19301751498765723,0,2
1,0.19699999999999998,23,0,1,6,1,5,0.51,2,0.19301751498765723,0,1
0,0.19699999999999998,0,0,1,7,1,6,0.51,2,0.19301751498765723,0,1
0,0.2121,1,0,1,7,1,6,0.55,2,0.10532502644880687,0,1
0,0.2424,2,0,1,7,1,6,0.55,2,0.0,0,3
0,0.19699999999999998,3,0,1,7,1,6,0.55,3,0.19301751498765723,0,0
0,0.19699999999999998,4,0,1,7,1,6,0.55,3,0.19301751498765723,0,0
0,0.1667,5,0,1,7,1,6,0.74,2,0.19301751498765723,0,0
0,0.1667,6,0,1,7,1,6,0.74,2,0.19301751498765723,0,0
0,0.1818,7,0,1,7,1,6,0.74,2,0.12284001410603033,0,1
0,0.1818,8,0,1,7,1,6,0.93,3,0.12284001410603033,0,0
0,0.1818,9,0,1,7,1,6,0.93,3,0.12284001410603033,0,0
0,0.19699999999999998,10,0,1,7,1,6,0.8,2,0.19301751498765723,0,5
0,0.1818,11,0,1,7,1,6,0.69,2,0.45621253085694136,0,2
0,0.1818,12,0,1,7,1,6,0.59,2,0.42106500528976143,0,8
0,0.1818,13,0,1,7,1,6,0.44,1,0.38603502997531447,0,7
0,0.1667,14,0,1,7,1,6,0.32,1,0.5789349947102387,0,12
0,0.1667,15,0,1,7,1,6,0.32,1,0.5263900317385682,0,5
0,0.1364,16,0,1,7,1,6,0.29,1,0.5263900317385682,0,8
0,0.1212,17,0,1,7,1,6,0.37,1,0.6491124955918656,0,5
0,0.1212,18,0,1,7,1,6,0.39,1,0.3508875044081345,0,3
0,0.1212,19,0,1,7,1,6,0.36,1,0.298224991183731,0,4
0,0.1212,20,0,1,7,1,6,0.36,1,0.298224991183731,0,0
0,0.1061,21,0,1,7,1,6,0.39,1,0.42106500528976143,0,2
0,0.1061,22,0,1,7,1,6,0.36,1,0.45621253085694136,0,1
0,0.0606,23,0,1,7,1,6,0.39,1,0.5263900317385682,0,0
0,0.0758,0,0,1,8,1,0,0.42,1,0.45621253085694136,0,1
0,0.0606,1,0,1,8,1,0,0.42,1,0.5439050193957917,0,0
0,0.0606,2,0,1,8,1,0,0.46,1,0.5439050193957917,0,0
0,0.0758,3,0,1,8,1,0,0.46,1,0.49124250617138826,0,0
0,0.0909,4,0,1,8,1,0,0.53,1,0.22804749030210414,0,0
0,0.0909,5,0,1,8,1,0,0.53,1,0.22804749030210414,0,0
0,0.0909,6,0,1,8,1,0,0.49,1,0.33337251675091106,0,0
0,0.0909,7,0,1,8,1,0,0.53,1,0.22804749030210414,0,1
0,0.0909,8,0,1,8,1,0,0.49,1,0.33337251675091106,0,0
0,0.0758,9,0,1,8,1,0,0.46,1,0.6140825202774186,0,0
0,0.1061,10,0,1,8,1,0,0.43,1,0.45621253085694136,0,0
0,0.1212,11,0,1,8,1,0,0.4,1,0.6140825202774186,0,2
0,0.1364,12,0,1,8,1,0,0.37,1,0.5263900317385682,0,4
0,0.1667,13,0,1,8,1,0,0.34,1,0.5263900317385682,0,6
0,0.1818,14,0,1,8,1,0,0.32,1,0.5439050193957917,0,8
0,0.19699999999999998,15,0,1,8,1,0,0.35,1,0.42106500528976143,0,5
0,0.1667,16,0,1,8,1,0,0.34,1,0.5263900317385682,0,13
0,0.1515,17,0,1,8,1,0,0.37,1,0.45621253085694136,0,3
0,0.1364,18,0,1,8,1,0,0.4,1,0.38603502997531447,0,4
0,0.1364,19,0,1,8,1,0,0.43,1,0.38603502997531447,0,1
0,0.1212,20,0,1,8,1,0,0.46,1,0.298224991183731,0,0
0,0.1061,21,0,1,8,1,0,0.46,1,0.49124250617138826,0,1
0,0.1212,22,0,1,8,1,0,0.46,1,0.3508875044081345,0,5
0,0.1364,23,0,1,8,1,0,0.5,1,0.22804749030210414,0,0
1,0.1212,0,0,1,9,1,1,0.5,1,0.33337251675091106,0,2
1,0.1212,1,0,1,9,1,1,0.5,1,0.33337251675091106,0,1
1,0.1212,2,0,1,9,1,1,0.5,1,0.2631950158692841,0,0
1,0.1212,3,0,1,9,1,1,0.5,1,0.2631950158692841,0,0
1,0.1212,4,0,1,9,1,1,0.54,1,0.15786998942047725,0,1
1,0.1061,5,0,1,9,1,1,0.54,1,0.298224991183731,0,0
1,0.1212,6,0,1,9,1,1,0.5,1,0.33337251675091106,0,0
1,0.1212,7,0,1,9,1,1,0.5,1,0.2631950158692841,0,2
1,0.1212,8,0,1,9,1,1,0.5,2,0.33337251675091106,0,4
1,0.1212,9,0,1,9,1,1,0.5,2,0.298224991183731,0,2
1,0.1212,10,0,1,9,1,1,0.5,2,0.3508875044081345,0,0
1,0.1364,11,0,1,9,1,1,0.47,2,0.33337251675091106,0,2
1,0.1818,12,0,1,9,1,1,0.4,2,0.33337251675091106,0,5
1,0.1818,13,0,1,9,1,1,0.4,2,0.33337251675091106,0,4
1,0.19699999999999998,14,0,1,9,1,1,0.4,2,0.2631950158692841,0,0
1,0.19699999999999998,15,0,1,9,1,1,0.4,2,0.2631950158692841,0,2
1,0.2121,16,0,1,9,1,1,0.4,1,0.15786998942047725,0,4
1,0.2273,17,0,1,9,1,1,0.4,1,0.12284001410603033,0,4
1,0.19699999999999998,18,0,1,9,1,1,0.4,1,0.2631950158692841,0,1
1,0.1667,19,0,1,9,1,1,0.47,1,0.19301751498765723,0,3
1,0.1667,20,0,1,9,1,1,0.5,1,0.19301751498765723,0,1
1,0.1364,21,0,1,9,1,1,0.59,1,0.22804749030210414,0,1
1,0.1515,22,0,1,9,1,1,0.59,1,0.19301751498765723,0,2
1,0.1515,23,0,1,9,1,1,0.59,1,0.19301751498765723,0,0
1,0.1667,0,0,1,10,1,2,0.59,1,0.12284001410603033,0,2
1,0.1515,1,0,1,10,1,2,0.59,1,0.19301751498765723,0,0
1,0.1515,2,0,1,10,1,2,0.55,2,0.22804749030210414,0,0
1,0.1818,5,0,1,10,1,2,0.55,2,0.15786998942047725,0,0
1,0.1818,6,0,1,10,1,2,0.55,2,0.15786998942047725,0,0
1,0.2273,7,0,1,10,1,2,0.55,2,0.0,0,2
1,0.2121,8,0,1,10,1,2,0.51,2,0.10532502644880687,0,3
1,0.19699999999999998,9,0,1,10,1,2,0.51,2,0.19301751498765723,0,3
1,0.2121,10,0,1,10,1,2,0.51,2,0.19301751498765723,0,3
1,0.2121,11,0,1,10,1,2,0.47,2,0.15786998942047725,0,4
1,0.2273,12,0,1,10,1,2,0.51,2,0.12284001410603033,0,2
1,0.2273,13,0,1,10,1,2,0.59,2,0.10532502644880687,0,6
1,0.2273,14,0,1,10,1,2,0.59,2,0.10532502644880687,0,3
1,0.19699999999999998,15,0,1,10,1,2,0.8,2,0.10532502644880687,0,2
1,0.1515,16,0,1,10,1,2,0.86,2,0.2631950158692841,0,4
1,0.1515,17,0,1,10,1,2,0.86,2,0.2631950158692841,0,6
1,0.1818,18,0,1,10,1,2,0.93,3,0.12284001410603033,0,1
1,0.2273,19,0,1,10,1,2,0.93,3,0.0,0,0
1,0.1515,20,0,1,10,1,2,0.93,3,0.22804749030210414,0,0
1,0.19699999999999998,21,0,1,10,1,2,0.86,3,0.10532502644880687,0,0
1,0.1818,22,0,1,10,1,2,0.93,3,0.12284001410603033,0,1
1,0.19699999999999998,23,0,1,10,1,2,0.93,3,0.10532502644880687,0,1
1,0.19699999999999998,0,0,1,11,1,3,0.86,2,0.10532502644880687,0,0
1,0.1818,1,0,1,11,1,3,0.86,2,0.12284001410603033,0,0
1,0.1515,2,0,1,11,1,3,0.86,1,0.15786998942047725,0,0
1,0.1515,5,0,1,11,1,3,0.86,1,0.19301751498765723,0,0
1,0.1515,6,0,1,11,1,3,0.93,1,0.15786998942047725,0,0
1,0.1515,7,0,1,11,1,3,0.69,1,0.15786998942047725,0,0
1,0.1667,8,0,1,11,1,3,0.59,1,0.19301751498765723,0,3
1,0.1364,9,0,1,11,1,3,0.59,1,0.38603502997531447,0,3
1,0.1818,10,0,1,11,1,3,0.55,1,0.2631950158692841,0,0
1,0.1818,11,0,1,11,1,3,0.51,1,0.45621253085694136,0,3
1,0.1515,12,0,1,11,1,3,0.47,1,0.6842600211590455,0,3
1,0.19699999999999998,13,0,1,11,1,3,0.44,1,0.42106500528976143,0,0
1,0.1818,14,0,1,11,1,3,0.47,1,0.38603502997531447,0,0
1,0.1667,15,0,1,11,1,3,0.47,1,0.49124250617138826,0,1
1,0.19699999999999998,16,0,1,11,1,3,0.44,1,0.38603502997531447,0,5
1,0.1818,17,0,1,11,1,3,0.47,1,0.42106500528976143,0,0
1,0.1515,18,0,1,11,1,3,0.47,1,0.6140825202774186,0,2
1,0.1515,19,0,1,11,1,3,0.47,1,0.49124250617138826,0,1
1,0.1364,20,0,1,11,1,3,0.5,1,0.38603502997531447,0,2
1,0.1364,21,0,1,11,1,3,0.55,1,0.38603502997531447,0,0
1,0.1212,22,0,1,11,1,3,0.55,1,0.5263900317385682,0,1
1,0.1061,23,0,1,11,1,3,0.59,1,0.49124250617138826,0,1
1,0.1212,0,0,1,12,1,4,0.59,1,0.33337251675091106,0,1
1,0.1212,1,0,1,12,1,4,0.5,1,0.33337251675091106,0,0
1,0.1212,2,0,1,12,1,4,0.5,1,0.42106500528976143,0,0
1,0.1212,3,0,1,12,1,4,0.5,1,0.38603502997531447,0,0
1,0.1212,4,0,1,12,1,4,0.5,1,0.298224991183731,0,0
1,0.1212,5,0,1,12,1,4,0.5,1,0.3508875044081345,0,0
1,0.1515,6,0,1,12,1,4,0.54,1,0.15786998942047725,0,0
1,0.1515,7,0,1,12,1,4,0.54,1,0.15786998942047725,0,0
1,0.1364,8,0,1,12,1,4,0.5,1,0.22804749030210414,0,5
1,0.1212,9,0,1,12,1,4,0.5,1,0.38603502997531447,0,2
1,0.1364,10,0,1,12,1,4,0.5,2,0.42106500528976143,0,2
1,0.1667,11,0,1,12,1,4,0.44,2,0.5263900317385682,0,4
1,0.1667,12,0,1,12,1,4,0.44,1,0.49124250617138826,0,3
1,0.19699999999999998,13,0,1,12,1,4,0.41,1,0.5263900317385682,0,2
1,0.19699999999999998,14,0,1,12,1,4,0.41,1,0.45621253085694136,0,3
1,0.2121,15,0,1,12,1,4,0.38,1,0.3508875044081345,0,5
1,0.2121,16,0,1,12,1,4,0.38,1,0.42106500528976143,0,2
1,0.1818,17,0,1,12,1,4,0.4,1,0.33337251675091106,0,4
1,0.1818,18,0,1,12,1,4,0.4,1,0.38603502997531447,0,3
1,0.1515,19,0,1,12,1,4,0.47,1,0.298224991183731,0,1
1,0.1515,20,0,1,12,1,4,0.47,1,0.2631950158692841,0,0
1,0.1212,21,0,1,12,1,4,0.46,1,0.3508875044081345,0,0
1,0.1212,22,0,1,12,1,4,0.46,1,0.38603502997531447,0,0
1,0.1364,23,0,1,12,1,4,0.5,1,0.22804749030210414,0,1
1,0.1364,0,0,1,13,1,5,0.5,1,0.22804749030210414,0,0
1,0.1212,1,0,1,13,1,5,0.54,1,0.19301751498765723,0,0
1,0.1212,2,0,1,13,1,5,0.54,1,0.15786998942047725,0,0
1,0.1364,3,0,1,13,1,5,0.54,1,0.12284001410603033,0,0
1,0.1364,5,0,1,13,1,5,0.54,1,0.10532502644880687,0,0
1,0.1818,6,0,1,13,1,5,0.54,1,0.0,0,0
1,0.1212,7,0,1,13,1,5,0.74,1,0.19301751498765723,0,0
1,0.1667,8,0,1,13,1,5,0.68,1,0.0,0,2
1,0.1515,9,0,1,13,1,5,0.69,1,0.15786998942047725,0,0
1,0.1818,10,0,1,13,1,5,0.55,1,0.22804749030210414,0,4
1,0.1667,11,0,1,13,1,5,0.51,1,0.33337251675091106,0,6
1,0.19699999999999998,12,0,1,13,1,5,0.44,1,0.298224991183731,0,2
1,0.19699999999999998,13,0,1,13,1,5,0.37,1,0.45621253085694136,0,4
1,0.2121,14,0,1,13,1,5,0.41,1,0.33337251675091106,0,5
1,0.2424,15,0,1,13,1,5,0.38,1,0.19301751498765723,0,9
1,0.2424,16,0,1,13,1,5,0.41,1,0.12284001410603033,0,3
1,0.2273,17,0,1,13,1,5,0.41,1,0.19301751498765723,0,4
1,0.2576,18,0,1,13,1,5,0.47,1,0.0,0,5
1,0.19699999999999998,19,0,1,13,1,5,0.59,1,0.10532502644880687,0,3
1,0.2424,20,0,1,13,1,5,0.59,1,0.0,0,0
1,0.2273,21,0,1,13,1,5,0.69,1,0.0,0,4
1,0.2273,22,0,1,13,1,5,0.69,2,0.0,0,2
1,0.2424,23,0,1,13,1,5,0.55,2,0.0,0,1
0,0.2424,0,0,1,14,1,6,0.55,1,0.0,0,3
0,0.19699999999999998,1,0,1,14,1,6,0.59,2,0.10532502644880687,0,2
0,0.19699999999999998,2,0,1,14,1,6,0.59,2,0.10532502644880687,0,0
0,0.2273,3,0,1,14,1,6,0.59,2,0.0,0,1
0,0.2273,4,0,1,14,1,6,0.59,2,0.0,0,0
0,0.2273,5,0,1,14,1,6,0.59,1,0.0,0,0
0,0.1667,6,0,1,14,1,6,0.63,1,0.12284001410603033,0,1
0,0.2121,7,0,1,14,1,6,0.63,1,0.0,0,1
0,0.1515,8,0,1,14,1,6,0.63,1,0.15786998942047725,0,1
0,0.1818,9,0,1,14,1,6,0.64,1,0.15786998942047725,0,2
0,0.19699999999999998,10,0,1,14,1,6,0.59,1,0.19301751498765723,0,2
0,0.19699999999999998,11,0,1,14,1,6,0.55,1,0.2631950158692841,0,18
0,0.2273,12,0,1,14,1,6,0.48,1,0.2631950158692841,0,15
0,0.2576,13,0,1,14,1,6,0.38,1,0.3508875044081345,0,21
0,0.2879,14,0,1,14,1,6,0.39,1,0.33337251675091106,0,26
0,0.3182,15,0,1,14,1,6,0.36,2,0.22804749030210414,0,21
0,0.3333,16,0,1,14,1,6,0.34,2,0.22804749030210414,0,33
0,0.303,17,0,1,14,1,6,0.36,2,0.33337251675091106,0,29
0,0.2879,18,0,1,14,1,6,0.45,2,0.298224991183731,0,15
0,0.303,19,0,1,14,1,6,0.39,2,0.298224991183731,0,14
0,0.303,20,0,1,14,1,6,0.39,2,0.298224991183731,0,6
0,0.303,21,0,1,14,1,6,0.39,2,0.2631950158692841,0,6
0,0.3182,22,0,1,14,1,6,0.42,2,0.12284001410603033,0,0
0,0.2879,23,0,1,14,1,6,0.45,1,0.33337251675091106,0,5
0,0.303,0,0,1,15,1,0,0.56,1,0.0,0,6
0,0.2727,1,0,1,15,1,0,0.56,1,0.15786998942047725,0,4
0,0.2879,2,0,1,15,1,0,0.56,1,0.10532502644880687,0,3
0,0.2727,3,0,1,15,1,0,0.69,1,0.0,0,9
0,0.2576,4,0,1,15,1,0,0.56,1,0.19301751498765723,0,0
0,0.2576,5,0,1,15,1,0,0.56,2,0.19301751498765723,0,1
0,0.2576,6,0,1,15,1,0,0.56,2,0.19301751498765723,0,0
0,0.2121,7,0,1,15,1,0,0.56,2,0.3508875044081345,0,0
0,0.2121,8,0,1,15,1,0,0.55,1,0.33337251675091106,0,0
0,0.2121,9,0,1,15,1,0,0.51,1,0.298224991183731,0,3
0,0.2121,10,0,1,15,1,0,0.51,1,0.33337251675091106,0,8
0,0.2273,11,0,1,15,1,0,0.44,1,0.298224991183731,0,23
0,0.2121,12,0,1,15,1,0,0.41,1,0.33337251675091106,0,29
0,0.2273,13,0,1,15,1,0,0.35,1,0.3508875044081345,0,23
0,0.2727,14,0,1,15,1,0,0.36,1,0.298224991183731,0,22
0,0.2424,15,0,1,15,1,0,0.38,1,0.298224991183731,0,35
0,0.2273,16,0,1,15,1,0,0.38,1,0.2631950158692841,0,22
0,0.2121,17,0,1,15,1,0,0.37,1,0.298224991183731,0,23
0,0.2121,18,0,1,15,1,0,0.4,1,0.19301751498765723,0,11
